ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005575	cellular component	3409	638	TRIREDRAFT_102487,TRIREDRAFT_102582,TRIREDRAFT_102836,TRIREDRAFT_102871,TRIREDRAFT_102964,TRIREDRAFT_103045,TRIREDRAFT_103127,TRIREDRAFT_103215,TRIREDRAFT_103579,TRIREDRAFT_103694,TRIREDRAFT_103712,TRIREDRAFT_103850,TRIREDRAFT_103886,TRIREDRAFT_104077,TRIREDRAFT_104121,TRIREDRAFT_104168,TRIREDRAFT_104230,TRIREDRAFT_104231,TRIREDRAFT_104251,TRIREDRAFT_104322,TRIREDRAFT_104343,TRIREDRAFT_104413,TRIREDRAFT_104514,TRIREDRAFT_104533,TRIREDRAFT_104907,TRIREDRAFT_105055,TRIREDRAFT_105221,TRIREDRAFT_105328,TRIREDRAFT_105504,TRIREDRAFT_105729,TRIREDRAFT_105752,TRIREDRAFT_105798,TRIREDRAFT_105806,TRIREDRAFT_105911,TRIREDRAFT_105977,TRIREDRAFT_106055,TRIREDRAFT_106205,TRIREDRAFT_106297,TRIREDRAFT_106306,TRIREDRAFT_106330,TRIREDRAFT_106356,TRIREDRAFT_106450,TRIREDRAFT_106490,TRIREDRAFT_106556,TRIREDRAFT_106576,TRIREDRAFT_106604,TRIREDRAFT_106684,TRIREDRAFT_106781,TRIREDRAFT_106821,TRIREDRAFT_107042,TRIREDRAFT_107187,TRIREDRAFT_107205,TRIREDRAFT_107258,TRIREDRAFT_107279,TRIREDRAFT_107285,TRIREDRAFT_107294,TRIREDRAFT_107325,TRIREDRAFT_107360,TRIREDRAFT_107479,TRIREDRAFT_107503,TRIREDRAFT_107507,TRIREDRAFT_107644,TRIREDRAFT_107768,TRIREDRAFT_107869,TRIREDRAFT_108233,TRIREDRAFT_108261,TRIREDRAFT_108540,TRIREDRAFT_108543,TRIREDRAFT_108683,TRIREDRAFT_108749,TRIREDRAFT_108802,TRIREDRAFT_109039,TRIREDRAFT_109120,TRIREDRAFT_109146,TRIREDRAFT_109237,TRIREDRAFT_109397,TRIREDRAFT_109811,TRIREDRAFT_109837,TRIREDRAFT_109967,TRIREDRAFT_109994,TRIREDRAFT_110040,TRIREDRAFT_110158,TRIREDRAFT_110339,TRIREDRAFT_110382,TRIREDRAFT_110631,TRIREDRAFT_110653,TRIREDRAFT_110666,TRIREDRAFT_110732,TRIREDRAFT_110733,TRIREDRAFT_110753,TRIREDRAFT_110791,TRIREDRAFT_110810,TRIREDRAFT_110813,TRIREDRAFT_110843,TRIREDRAFT_111049,TRIREDRAFT_111077,TRIREDRAFT_111250,TRIREDRAFT_111251,TRIREDRAFT_111361,TRIREDRAFT_111450,TRIREDRAFT_111514,TRIREDRAFT_111515,TRIREDRAFT_111588,TRIREDRAFT_111632,TRIREDRAFT_111724,TRIREDRAFT_111861,TRIREDRAFT_111873,TRIREDRAFT_111874,TRIREDRAFT_111875,TRIREDRAFT_111888,TRIREDRAFT_112031,TRIREDRAFT_112034,TRIREDRAFT_112068,TRIREDRAFT_112103,TRIREDRAFT_112114,TRIREDRAFT_112133,TRIREDRAFT_112134,TRIREDRAFT_112366,TRIREDRAFT_112372,TRIREDRAFT_112440,TRIREDRAFT_112459,TRIREDRAFT_112493,TRIREDRAFT_112559,TRIREDRAFT_112674,TRIREDRAFT_112676,TRIREDRAFT_112677,TRIREDRAFT_112683,TRIREDRAFT_112689,TRIREDRAFT_119800,TRIREDRAFT_119816,TRIREDRAFT_119902,TRIREDRAFT_119981,TRIREDRAFT_120067,TRIREDRAFT_120154,TRIREDRAFT_120172,TRIREDRAFT_120173,TRIREDRAFT_120236,TRIREDRAFT_120238,TRIREDRAFT_120320,TRIREDRAFT_120354,TRIREDRAFT_120415,TRIREDRAFT_120752,TRIREDRAFT_120807,TRIREDRAFT_120828,TRIREDRAFT_120889,TRIREDRAFT_120923,TRIREDRAFT_121014,TRIREDRAFT_121082,TRIREDRAFT_121088,TRIREDRAFT_121227,TRIREDRAFT_121230,TRIREDRAFT_121232,TRIREDRAFT_121294,TRIREDRAFT_121312,TRIREDRAFT_121397,TRIREDRAFT_121416,TRIREDRAFT_121482,TRIREDRAFT_121504,TRIREDRAFT_121506,TRIREDRAFT_121733,TRIREDRAFT_121754,TRIREDRAFT_121764,TRIREDRAFT_121850,TRIREDRAFT_121948,TRIREDRAFT_121990,TRIREDRAFT_122067,TRIREDRAFT_122071,TRIREDRAFT_122095,TRIREDRAFT_122108,TRIREDRAFT_122178,TRIREDRAFT_122198,TRIREDRAFT_122324,TRIREDRAFT_122376,TRIREDRAFT_122565,TRIREDRAFT_122579,TRIREDRAFT_122590,TRIREDRAFT_122679,TRIREDRAFT_122795,TRIREDRAFT_122857,TRIREDRAFT_122889,TRIREDRAFT_122929,TRIREDRAFT_122993,TRIREDRAFT_123008,TRIREDRAFT_123290,TRIREDRAFT_123325,TRIREDRAFT_123459,TRIREDRAFT_123539,TRIREDRAFT_123627,TRIREDRAFT_123806,TRIREDRAFT_123809,TRIREDRAFT_123951,TRIREDRAFT_124056,TRIREDRAFT_124113,TRIREDRAFT_124187,TRIREDRAFT_124222,TRIREDRAFT_124228,TRIREDRAFT_124278,TRIREDRAFT_2076,TRIREDRAFT_21193,TRIREDRAFT_21342,TRIREDRAFT_21392,TRIREDRAFT_21442,TRIREDRAFT_21498,TRIREDRAFT_21576,TRIREDRAFT_21664,TRIREDRAFT_21745,TRIREDRAFT_21773,TRIREDRAFT_22000,TRIREDRAFT_22009,TRIREDRAFT_22104,TRIREDRAFT_22181,TRIREDRAFT_2231,TRIREDRAFT_22512,TRIREDRAFT_22912,TRIREDRAFT_23221,TRIREDRAFT_23297,TRIREDRAFT_23353,TRIREDRAFT_23475,TRIREDRAFT_2698,TRIREDRAFT_27770,TRIREDRAFT_27948,TRIREDRAFT_28409,TRIREDRAFT_2912,TRIREDRAFT_29716,TRIREDRAFT_29756,TRIREDRAFT_29770,TRIREDRAFT_30758,TRIREDRAFT_31041,TRIREDRAFT_31134,TRIREDRAFT_32149,TRIREDRAFT_32204,TRIREDRAFT_32212,TRIREDRAFT_32261,TRIREDRAFT_3267,TRIREDRAFT_3330,TRIREDRAFT_33342,TRIREDRAFT_3363,TRIREDRAFT_3405,TRIREDRAFT_3412,TRIREDRAFT_34297,TRIREDRAFT_34353,TRIREDRAFT_3488,TRIREDRAFT_35777,TRIREDRAFT_37067,TRIREDRAFT_37525,TRIREDRAFT_3765,TRIREDRAFT_3787,TRIREDRAFT_3813,TRIREDRAFT_3824,TRIREDRAFT_38341,TRIREDRAFT_38603,TRIREDRAFT_38812,TRIREDRAFT_39587,TRIREDRAFT_39637,TRIREDRAFT_40114,TRIREDRAFT_40156,TRIREDRAFT_40216,TRIREDRAFT_40374,TRIREDRAFT_40775,TRIREDRAFT_41035,TRIREDRAFT_41178,TRIREDRAFT_41260,TRIREDRAFT_41325,TRIREDRAFT_41604,TRIREDRAFT_41800,TRIREDRAFT_4196,TRIREDRAFT_42326,TRIREDRAFT_42766,TRIREDRAFT_42972,TRIREDRAFT_43191,TRIREDRAFT_43418,TRIREDRAFT_43671,TRIREDRAFT_4370,TRIREDRAFT_43802,TRIREDRAFT_44175,TRIREDRAFT_4454,TRIREDRAFT_44546,TRIREDRAFT_44640,TRIREDRAFT_44700,TRIREDRAFT_44705,TRIREDRAFT_44814,TRIREDRAFT_44943,TRIREDRAFT_44956,TRIREDRAFT_4508,TRIREDRAFT_45112,TRIREDRAFT_4517,TRIREDRAFT_45343,TRIREDRAFT_45512,TRIREDRAFT_45573,TRIREDRAFT_4561,TRIREDRAFT_45624,TRIREDRAFT_46127,TRIREDRAFT_46819,TRIREDRAFT_47987,TRIREDRAFT_48516,TRIREDRAFT_4901,TRIREDRAFT_4905,TRIREDRAFT_49149,TRIREDRAFT_4950,TRIREDRAFT_4982,TRIREDRAFT_49864,TRIREDRAFT_49992,TRIREDRAFT_50160,TRIREDRAFT_50516,TRIREDRAFT_50625,TRIREDRAFT_50647,TRIREDRAFT_5066,TRIREDRAFT_50894,TRIREDRAFT_51153,TRIREDRAFT_51650,TRIREDRAFT_52073,TRIREDRAFT_52165,TRIREDRAFT_52315,TRIREDRAFT_53027,TRIREDRAFT_53254,TRIREDRAFT_53342,TRIREDRAFT_53360,TRIREDRAFT_53452,TRIREDRAFT_5350,TRIREDRAFT_53859,TRIREDRAFT_54005,TRIREDRAFT_54134,TRIREDRAFT_54329,TRIREDRAFT_54583,TRIREDRAFT_5466,TRIREDRAFT_54846,TRIREDRAFT_54954,TRIREDRAFT_54962,TRIREDRAFT_55041,TRIREDRAFT_55240,TRIREDRAFT_55321,TRIREDRAFT_55375,TRIREDRAFT_55630,TRIREDRAFT_55636,TRIREDRAFT_55723,TRIREDRAFT_5607,TRIREDRAFT_5610,TRIREDRAFT_5612,TRIREDRAFT_56176,TRIREDRAFT_56203,TRIREDRAFT_56259,TRIREDRAFT_56272,TRIREDRAFT_56314,TRIREDRAFT_56341,TRIREDRAFT_56396,TRIREDRAFT_5647,TRIREDRAFT_56531,TRIREDRAFT_56546,TRIREDRAFT_5656,TRIREDRAFT_56720,TRIREDRAFT_56744,TRIREDRAFT_56792,TRIREDRAFT_56812,TRIREDRAFT_56911,TRIREDRAFT_57015,TRIREDRAFT_57101,TRIREDRAFT_57167,TRIREDRAFT_57291,TRIREDRAFT_57402,TRIREDRAFT_57526,TRIREDRAFT_57537,TRIREDRAFT_57643,TRIREDRAFT_57737,TRIREDRAFT_57823,TRIREDRAFT_57832,TRIREDRAFT_5787,TRIREDRAFT_58150,TRIREDRAFT_58220,TRIREDRAFT_58492,TRIREDRAFT_58505,TRIREDRAFT_58511,TRIREDRAFT_58539,TRIREDRAFT_58550,TRIREDRAFT_58560,TRIREDRAFT_58607,TRIREDRAFT_58767,TRIREDRAFT_58887,TRIREDRAFT_58899,TRIREDRAFT_5890,TRIREDRAFT_59173,TRIREDRAFT_59272,TRIREDRAFT_59302,TRIREDRAFT_59352,TRIREDRAFT_59697,TRIREDRAFT_59778,TRIREDRAFT_59936,TRIREDRAFT_59952,TRIREDRAFT_6005,TRIREDRAFT_60086,TRIREDRAFT_60116,TRIREDRAFT_60319,TRIREDRAFT_60392,TRIREDRAFT_60467,TRIREDRAFT_60557,TRIREDRAFT_60616,TRIREDRAFT_60729,TRIREDRAFT_60743,TRIREDRAFT_60793,TRIREDRAFT_60825,TRIREDRAFT_60867,TRIREDRAFT_60987,TRIREDRAFT_60988,TRIREDRAFT_6103,TRIREDRAFT_6107,TRIREDRAFT_61074,TRIREDRAFT_61114,TRIREDRAFT_61116,TRIREDRAFT_61161,TRIREDRAFT_61212,TRIREDRAFT_61278,TRIREDRAFT_61354,TRIREDRAFT_61382,TRIREDRAFT_61471,TRIREDRAFT_61486,TRIREDRAFT_61496,TRIREDRAFT_61577,TRIREDRAFT_61715,TRIREDRAFT_61750,TRIREDRAFT_61939,TRIREDRAFT_62168,TRIREDRAFT_62263,TRIREDRAFT_62300,TRIREDRAFT_62340,TRIREDRAFT_62389,TRIREDRAFT_62488,TRIREDRAFT_62502,TRIREDRAFT_62563,TRIREDRAFT_62611,TRIREDRAFT_62658,TRIREDRAFT_62716,TRIREDRAFT_62912,TRIREDRAFT_63441,TRIREDRAFT_63946,TRIREDRAFT_63966,TRIREDRAFT_63967,TRIREDRAFT_63972,TRIREDRAFT_63981,TRIREDRAFT_64018,TRIREDRAFT_64049,TRIREDRAFT_64130,TRIREDRAFT_64193,TRIREDRAFT_64272,TRIREDRAFT_64543,TRIREDRAFT_64620,TRIREDRAFT_64685,TRIREDRAFT_64790,TRIREDRAFT_64874,TRIREDRAFT_64882,TRIREDRAFT_64900,TRIREDRAFT_64920,TRIREDRAFT_64971,TRIREDRAFT_65085,TRIREDRAFT_65107,TRIREDRAFT_65114,TRIREDRAFT_65153,TRIREDRAFT_65360,TRIREDRAFT_65380,TRIREDRAFT_65493,TRIREDRAFT_65583,TRIREDRAFT_65623,TRIREDRAFT_65741,TRIREDRAFT_65915,TRIREDRAFT_65996,TRIREDRAFT_66111,TRIREDRAFT_66269,TRIREDRAFT_66432,TRIREDRAFT_66438,TRIREDRAFT_66611,TRIREDRAFT_66657,TRIREDRAFT_66695,TRIREDRAFT_66786,TRIREDRAFT_66814,TRIREDRAFT_66835,TRIREDRAFT_66958,TRIREDRAFT_67334,TRIREDRAFT_67430,TRIREDRAFT_67493,TRIREDRAFT_67562,TRIREDRAFT_67605,TRIREDRAFT_67707,TRIREDRAFT_67732,TRIREDRAFT_67806,TRIREDRAFT_67931,TRIREDRAFT_67941,TRIREDRAFT_67964,TRIREDRAFT_68122,TRIREDRAFT_68169,TRIREDRAFT_68207,TRIREDRAFT_68358,TRIREDRAFT_68425,TRIREDRAFT_68574,TRIREDRAFT_68705,TRIREDRAFT_68803,TRIREDRAFT_68813,TRIREDRAFT_68843,TRIREDRAFT_68925,TRIREDRAFT_68988,TRIREDRAFT_69026,TRIREDRAFT_69122,TRIREDRAFT_69211,TRIREDRAFT_69500,TRIREDRAFT_69502,TRIREDRAFT_69537,TRIREDRAFT_69611,TRIREDRAFT_69651,TRIREDRAFT_69771,TRIREDRAFT_69858,TRIREDRAFT_69904,TRIREDRAFT_69975,TRIREDRAFT_70108,TRIREDRAFT_70172,TRIREDRAFT_70500,TRIREDRAFT_70644,TRIREDRAFT_70703,TRIREDRAFT_70750,TRIREDRAFT_70807,TRIREDRAFT_70860,TRIREDRAFT_70932,TRIREDRAFT_70933,TRIREDRAFT_70943,TRIREDRAFT_70967,TRIREDRAFT_71010,TRIREDRAFT_71021,TRIREDRAFT_71119,TRIREDRAFT_71126,TRIREDRAFT_71344,TRIREDRAFT_71817,TRIREDRAFT_72004,TRIREDRAFT_72383,TRIREDRAFT_72549,TRIREDRAFT_72605,TRIREDRAFT_72627,TRIREDRAFT_72788,TRIREDRAFT_72896,TRIREDRAFT_72922,TRIREDRAFT_73235,TRIREDRAFT_73250,TRIREDRAFT_73344,TRIREDRAFT_73519,TRIREDRAFT_73623,TRIREDRAFT_73764,TRIREDRAFT_73853,TRIREDRAFT_74070,TRIREDRAFT_74215,TRIREDRAFT_74379,TRIREDRAFT_74386,TRIREDRAFT_74421,TRIREDRAFT_74462,TRIREDRAFT_74491,TRIREDRAFT_74638,TRIREDRAFT_74771,TRIREDRAFT_75045,TRIREDRAFT_75152,TRIREDRAFT_75380,TRIREDRAFT_75385,TRIREDRAFT_75468,TRIREDRAFT_75886,TRIREDRAFT_75975,TRIREDRAFT_76075,TRIREDRAFT_76151,TRIREDRAFT_76172,TRIREDRAFT_76235,TRIREDRAFT_76311,TRIREDRAFT_76360,TRIREDRAFT_76758,TRIREDRAFT_76763,TRIREDRAFT_76766,TRIREDRAFT_76800,TRIREDRAFT_76949,TRIREDRAFT_77056,TRIREDRAFT_77138,TRIREDRAFT_77227,TRIREDRAFT_77254,TRIREDRAFT_77283,TRIREDRAFT_77284,TRIREDRAFT_77517,TRIREDRAFT_77557,TRIREDRAFT_77634,TRIREDRAFT_77785,TRIREDRAFT_77955,TRIREDRAFT_78004,TRIREDRAFT_78301,TRIREDRAFT_78499,TRIREDRAFT_78555,TRIREDRAFT_78681,TRIREDRAFT_78738,TRIREDRAFT_78833,TRIREDRAFT_79014,TRIREDRAFT_79044,TRIREDRAFT_79089,TRIREDRAFT_79202,TRIREDRAFT_79295,TRIREDRAFT_79334,TRIREDRAFT_79396,TRIREDRAFT_79498,TRIREDRAFT_79510,TRIREDRAFT_79832,TRIREDRAFT_80005,TRIREDRAFT_80028,TRIREDRAFT_80086,TRIREDRAFT_80125,TRIREDRAFT_80191,TRIREDRAFT_80237,TRIREDRAFT_80310,TRIREDRAFT_80441,TRIREDRAFT_80627,TRIREDRAFT_80639,TRIREDRAFT_80695,TRIREDRAFT_80714,TRIREDRAFT_80767,TRIREDRAFT_80825,TRIREDRAFT_80870,TRIREDRAFT_80904,TRIREDRAFT_81049,TRIREDRAFT_81096,TRIREDRAFT_81102,TRIREDRAFT_81105,TRIREDRAFT_81136,TRIREDRAFT_81211,TRIREDRAFT_81263,TRIREDRAFT_81383,TRIREDRAFT_81423,TRIREDRAFT_81652,TRIREDRAFT_81661,TRIREDRAFT_81670,TRIREDRAFT_81676,TRIREDRAFT_81763,TRIREDRAFT_81939,TRIREDRAFT_82041,TRIREDRAFT_82095,TRIREDRAFT_82150,TRIREDRAFT_82214,TRIREDRAFT_82286,TRIREDRAFT_82309,TRIREDRAFT_82321,TRIREDRAFT_82523,TRIREDRAFT_82551,TRIREDRAFT_82568,	18.7	1.72	10.44	1.57648104187e-116	2.68001777117e-115	2.68001777117e-115
GO:0005783	endoplasmic reticulum	156	61	TRIREDRAFT_104121,TRIREDRAFT_105055,TRIREDRAFT_107205,TRIREDRAFT_110631,TRIREDRAFT_110813,TRIREDRAFT_111077,TRIREDRAFT_120154,TRIREDRAFT_121227,TRIREDRAFT_121230,TRIREDRAFT_121397,TRIREDRAFT_121504,TRIREDRAFT_121754,TRIREDRAFT_121948,TRIREDRAFT_123008,TRIREDRAFT_123627,TRIREDRAFT_124187,TRIREDRAFT_124222,TRIREDRAFT_23221,TRIREDRAFT_2912,TRIREDRAFT_31134,TRIREDRAFT_33342,TRIREDRAFT_41800,TRIREDRAFT_43191,TRIREDRAFT_44705,TRIREDRAFT_49149,TRIREDRAFT_49864,TRIREDRAFT_5066,TRIREDRAFT_51153,TRIREDRAFT_53254,TRIREDRAFT_55321,TRIREDRAFT_56203,TRIREDRAFT_56792,TRIREDRAFT_56812,TRIREDRAFT_57537,TRIREDRAFT_57832,TRIREDRAFT_58550,TRIREDRAFT_59302,TRIREDRAFT_59697,TRIREDRAFT_60743,TRIREDRAFT_61486,TRIREDRAFT_62168,TRIREDRAFT_62563,TRIREDRAFT_63946,TRIREDRAFT_63967,TRIREDRAFT_64543,TRIREDRAFT_65623,TRIREDRAFT_65996,TRIREDRAFT_66814,TRIREDRAFT_68843,TRIREDRAFT_70644,TRIREDRAFT_72896,TRIREDRAFT_73235,TRIREDRAFT_74379,TRIREDRAFT_74462,TRIREDRAFT_78555,TRIREDRAFT_79295,TRIREDRAFT_80714,TRIREDRAFT_81263,TRIREDRAFT_81939,TRIREDRAFT_82150,TRIREDRAFT_82523,	39.1	3.59	5.66	1.09826701768e-20	9.33526965027e-20	1.86705393005e-19
GO:0005886	plasma membrane	66	18	TRIREDRAFT_108543,TRIREDRAFT_110813,TRIREDRAFT_111450,TRIREDRAFT_111724,TRIREDRAFT_120154,TRIREDRAFT_120752,TRIREDRAFT_123459,TRIREDRAFT_124228,TRIREDRAFT_3363,TRIREDRAFT_40374,TRIREDRAFT_44640,TRIREDRAFT_5466,TRIREDRAFT_54962,TRIREDRAFT_58607,TRIREDRAFT_75385,TRIREDRAFT_76311,TRIREDRAFT_79089,TRIREDRAFT_80639,	27.3	2.51	3.13	0.000162465224469	0.000920636271992	0.00276190881598
GO:0005773	vacuole	52	12	TRIREDRAFT_105504,TRIREDRAFT_106297,TRIREDRAFT_110158,TRIREDRAFT_110813,TRIREDRAFT_45512,TRIREDRAFT_49992,TRIREDRAFT_50516,TRIREDRAFT_50625,TRIREDRAFT_56744,TRIREDRAFT_70750,TRIREDRAFT_74386,TRIREDRAFT_79014,	23.1	2.12	2.48	0.00857980883633	0.0364641875544	0.145856750218
